file_path,category,foreground_label,background_label
/DATA_ROOT/Desktop/matcher/Datasets/DESED/data/dataset/audio/train/weak/YKK227gPpRn4_30.000_40.000.wav,"Alarm_bell_ringing,Speech",Speech,Alarm_bell_ringing
/DATA_ROOT/Desktop/matcher/Datasets/DESED/data/dataset/audio/train/weak/Y-6p32k2WUCs_0.000_10.000.wav,Alarm_bell_ringing,,
/DATA_ROOT/Desktop/matcher/Datasets/DESED/data/dataset/audio/train/weak/Y-Zjgm_sZd10_0.000_4.000.wav,Alarm_bell_ringing,,
/DATA_ROOT/Desktop/matcher/Datasets/DESED/data/dataset/audio/train/weak/Y-ikrSfqB0LU_0.000_3.000.wav,Alarm_bell_ringing,,
/DATA_ROOT/Desktop/matcher/Datasets/DESED/data/dataset/audio/train/weak/Y26ubekDhG_Y_0.000_10.000.wav,Alarm_bell_ringing,,
/DATA_ROOT/Desktop/matcher/Datasets/DESED/data/dataset/audio/train/weak/Y2xXpSgqrtDE_40.000_50.000.wav,Alarm_bell_ringing,,
/DATA_ROOT/Desktop/matcher/Datasets/DESED/data/dataset/audio/train/weak/Y2xo20i_OZrM_80.000_90.000.wav,"Alarm_bell_ringing,Speech",Speech,Alarm_bell_ringing
/DATA_ROOT/Desktop/matcher/Datasets/DESED/data/dataset/audio/train/weak/Y3BcwNM72zcQ_10.000_20.000.wav,Alarm_bell_ringing,,
/DATA_ROOT/Desktop/matcher/Datasets/DESED/data/dataset/audio/train/weak/Y4oQdHNxBFFY_20.000_30.000.wav,"Alarm_bell_ringing,Speech",Speech,Alarm_bell_ringing
/DATA_ROOT/Desktop/matcher/Datasets/DESED/data/dataset/audio/train/weak/Y52Usv8FcO0w_30.000_40.000.wav,"Alarm_bell_ringing,Speech",Speech,Alarm_bell_ringing
/DATA_ROOT/Desktop/matcher/Datasets/DESED/data/dataset/audio/train/weak/Y5pNzHcUedVo_10.000_20.000.wav,Alarm_bell_ringing,,
/DATA_ROOT/Desktop/matcher/Datasets/DESED/data/dataset/audio/train/weak/Y6PrBwQNpLvo_10.000_20.000.wav,"Alarm_bell_ringing,Speech",Speech,Alarm_bell_ringing
/DATA_ROOT/Desktop/matcher/Datasets/DESED/data/dataset/audio/train/weak/Y6aNA6pqmpd8_0.000_6.000.wav,Alarm_bell_ringing,,
/DATA_ROOT/Desktop/matcher/Datasets/DESED/data/dataset/audio/train/weak/Y7fGU8SFid9E_130.000_140.000.wav,Alarm_bell_ringing,,
/DATA_ROOT/Desktop/matcher/Datasets/DESED/data/dataset/audio/train/weak/Y9QEM0ThcgD4_20.000_30.000.wav,Alarm_bell_ringing,,
/DATA_ROOT/Desktop/matcher/Datasets/DESED/data/dataset/audio/train/weak/Y9zWmlaj56pM_60.000_70.000.wav,"Alarm_bell_ringing,Speech",Speech,Alarm_bell_ringing
/DATA_ROOT/Desktop/matcher/Datasets/DESED/data/dataset/audio/train/weak/YE8Yi41OgpWo_0.000_10.000.wav,Alarm_bell_ringing,,
/DATA_ROOT/Desktop/matcher/Datasets/DESED/data/dataset/audio/train/weak/YEL3v64rTpG8_0.000_9.000.wav,"Alarm_bell_ringing,Speech",Speech,Alarm_bell_ringing
/DATA_ROOT/Desktop/matcher/Datasets/DESED/data/dataset/audio/train/weak/YEenFsKjpsQc_200.000_210.000.wav,"Alarm_bell_ringing,Speech",Speech,Alarm_bell_ringing
/DATA_ROOT/Desktop/matcher/Datasets/DESED/data/dataset/audio/train/weak/YEqCEkkd_c_I_0.000_10.000.wav,Alarm_bell_ringing,,
/DATA_ROOT/Desktop/matcher/Datasets/DESED/data/dataset/audio/train/weak/YHoBWL3qAnGU_350.000_360.000.wav,Alarm_bell_ringing,,
/DATA_ROOT/Desktop/matcher/Datasets/DESED/data/dataset/audio/train/weak/YI-uouJ_Zsv4_0.000_10.000.wav,"Alarm_bell_ringing,Speech",Speech,Alarm_bell_ringing
/DATA_ROOT/Desktop/matcher/Datasets/DESED/data/dataset/audio/train/weak/YI3kPmcHvMrg_30.000_40.000.wav,"Alarm_bell_ringing,dog+dog_bark",dog+dog_bark,Alarm_bell_ringing
/DATA_ROOT/Desktop/matcher/Datasets/DESED/data/dataset/audio/train/weak/YJ1EO9afbq4U_80.000_90.000.wav,Alarm_bell_ringing,,
/DATA_ROOT/Desktop/matcher/Datasets/DESED/data/dataset/audio/train/weak/YJ1Qv0p8QsR8_150.000_160.000.wav,"Alarm_bell_ringing,Speech",Speech,Alarm_bell_ringing
/DATA_ROOT/Desktop/matcher/Datasets/DESED/data/dataset/audio/train/weak/YJQplKcC6Ejw_0.000_10.000.wav,"Alarm_bell_ringing,Speech",Speech,Alarm_bell_ringing
/DATA_ROOT/Desktop/matcher/Datasets/DESED/data/dataset/audio/train/weak/YL7bzKI26Pek_190.000_200.000.wav,"Alarm_bell_ringing,Speech",Speech,Alarm_bell_ringing
/DATA_ROOT/Desktop/matcher/Datasets/DESED/data/dataset/audio/train/weak/YL9_QOpRG8s8_0.000_10.000.wav,Alarm_bell_ringing,,
/DATA_ROOT/Desktop/matcher/Datasets/DESED/data/dataset/audio/train/weak/YLgf99OrWOVM_420.000_430.000.wav,Alarm_bell_ringing,,
/DATA_ROOT/Desktop/matcher/Datasets/DESED/data/dataset/audio/train/weak/YMkF2nVQypFM_30.000_40.000.wav,"Alarm_bell_ringing,Speech",Speech,Alarm_bell_ringing
/DATA_ROOT/Desktop/matcher/Datasets/DESED/data/dataset/audio/train/weak/YMsy4mmS1DYc_110.000_120.000.wav,"Alarm_bell_ringing,Speech",Speech,Alarm_bell_ringing
/DATA_ROOT/Desktop/matcher/Datasets/DESED/data/dataset/audio/train/weak/YPpKpwTI1REQ_410.000_420.000.wav,Alarm_bell_ringing,,
/DATA_ROOT/Desktop/matcher/Datasets/DESED/data/dataset/audio/train/weak/YTgp484iUwEg_190.000_200.000.wav,Alarm_bell_ringing,,
